Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
50,P,Josh Walker*,29,0,0,,,,,,,,,,,,,,,,,,,,,,
51,P,Dedniel NÃºÃ±ez,28,0,0,,,,,,,,,,,,,,,,,,,,,,
52,P,Julio Teheran,33,0,0,,,,,,,,,,,,,,,,,,,,,,
53,P,Phil Maton,31,0,0,,,,,,,,,,,,,,,,,,,,,,
54,P,Edwin DÃ­az,30,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
55,P,Reed Garrett,31,0,0,,,,,,,,,,,,,,,,,,,,,,
56,P,Matt Festa,31,0,0,,,,,,,,,,,,,,,,,,,,,,
57,P,Cole Sulser,34,0,0,,,,,,,,,,,,,,,,,,,,,,
58,P,Alex Young*,30,0,0,,,,,,,,,,,,,,,,,,,,,,
59,P,Adam Ottavino#,38,0,0,,,,,,,,,,,,,,,,,,,,,,
,,Team Totals,30.1,162,6166,5510,768,1357,279,15,207,735,106,22,514,1382,0.246,0.319,0.415,0.734,108,2287,105,92,10,36,11
,,Rank in 15 NL teams,,,,6,5,7,3,14,4,,10,3,6,8,7,6,5,5,,5,,1,,13,
