Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB
Dedniel Núñez,29,,0,0,0,,4.66,10,0,3,0,0,0,9.2,6,5,5,1,6,0,11,0,0,1,41,90,4.07,1.241,5.6,0.9,5.6,10.2,1.83
Austin Warren,29,,0.4,1,0,1,0.96,5,0,1,0,0,0,9.1,5,1,1,1,4,0,9,0,0,0,34,433,3.89,0.964,4.8,1,3.9,8.7,2.25
Danny Young*,31,,0,0,0,,4.32,10,0,4,0,0,0,8.1,9,5,4,0,3,0,13,1,0,0,37,97,1.46,1.44,9.7,0,3.2,14,4.33
Génesis Cabrera*,28,,0.1,0,0,,3.52,6,0,1,0,0,0,7.2,7,3,3,1,3,0,7,0,0,0,32,120,4.18,1.304,8.2,1.2,3.5,8.2,2.33
Justin Garza,31,,0,0,0,,5.4,5,0,4,0,0,0,6.2,8,4,4,1,1,0,3,0,0,1,28,79,4.64,1.35,10.8,1.4,1.4,4.1,3
Alex Carrillo,28,,-0.5,0,1,0,13.5,3,0,0,0,0,0,4.2,6,7,7,4,2,0,4,1,0,1,22,32,14.49,1.714,11.6,7.7,3.9,7.7,2
José Ureña,33,,-0.1,0,0,,15,1,0,1,0,0,1,3,7,5,5,2,1,0,3,0,0,0,17,30,10.8,2.667,21,6,3,9,3
Ty Adcock,28,,0,0,0,,3,3,0,1,0,0,0,3,2,1,1,1,2,0,5,0,0,0,14,151,6.14,1.333,6,3,6,15,2.5
Tyler Zuber,30,,0,0,0,,9,1,0,1,0,0,0,2,3,2,2,0,0,0,3,0,0,0,9,53,0.14,1.5,13.5,0,0,13.5,
Zach Pop,28,,-0.2,0,1,0,20.25,1,0,0,0,0,0,1.1,5,3,3,1,0,0,0,0,0,0,9,26,12.89,3.75,33.8,6.8,0,0,
Dom Hamel,26,,0,0,0,,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,6,,6.14,3,27,0,0,0,
Travis Jankowski,34,,-0.1,0,0,,18,1,0,1,0,0,0,1,2,2,2,0,1,0,0,1,0,0,6,31,9.14,3,18,0,9,0,0
Colin Poche*,31,,-0.1,0,0,,27,1,0,1,0,0,0,0.2,2,2,2,0,2,0,1,0,0,0,6,23,9.14,6,27,0,27,13.5,0.5
Jonathan Pintaro,27,,-0.1,0,0,,27,1,0,0,0,0,0,0.2,2,2,2,0,2,0,1,0,0,0,6,23,9.14,6,27,0,27,13.5,0.5
Luis Torrens,29,,-0.2,0,0,,54,2,0,1,0,0,0,0.2,5,4,4,2,1,0,0,0,0,0,8,12,46.64,9,67.5,27,13.5,0,0
Jared Young,29,,0,0,0,,0,1,0,1,0,0,0,0.1,1,0,0,0,1,0,0,0,0,0,3,,12.14,6,27,0,27,0,0
