yearID,lgID,franchID,divID,Rank,G,Ghome,W,L,Covered,RoofType
2015,NL,LAD,W,1,162,81,92,70,0,Covered
2015,NL,FLA,E,3,162,81,71,91,1,Retractable
2015,NL,MIL,C,4,162,81,68,94,1,Retractable
2015,NL,NYM,E,1,162,81,90,72,0,Covered
2015,NL,PHI,E,5,162,81,63,99,0,Covered
2015,NL,PIT,C,2,162,81,98,64,0,Covered
2015,NL,SDP,W,4,162,81,74,88,0,Covered
2015,NL,SFG,W,2,162,81,84,78,0,Covered
2015,NL,STL,C,1,162,81,100,62,0,Covered
2015,NL,WSN,E,2,162,81,83,79,0,Covered
2016,NL,ARI,W,4,162,81,69,93,1,Retractable
2016,NL,ATL,E,5,161,81,68,93,0,Covered
2016,NL,CHC,C,1,162,81,103,58,0,Covered
2016,NL,CIN,C,5,162,81,68,94,0,Covered
2016,NL,COL,W,3,162,81,75,87,0,Covered
2016,NL,LAD,W,1,162,81,91,71,0,Covered
2016,NL,FLA,E,3,161,80,79,82,1,Retractable
2016,NL,MIL,C,4,162,81,73,89,1,Retractable
2016,NL,NYM,E,2,162,81,87,75,0,Covered
2016,NL,PHI,E,4,162,81,71,91,0,Covered
2016,NL,PIT,C,3,162,81,78,83,0,Covered
2016,NL,SDP,W,5,162,81,68,94,0,Covered
2016,NL,SFG,W,2,162,81,87,75,0,Covered
2016,NL,STL,C,2,162,81,86,76,0,Covered
2016,NL,WSN,E,1,162,81,95,67,0,Covered
2017,NL,ARI,W,2,162,81,93,69,1,Retractable
2017,NL,ATL,E,3,162,81,72,90,0,Covered
2017,NL,CHC,C,1,162,81,92,70,0,Covered
2017,NL,CIN,C,5,162,81,68,94,0,Covered
2017,NL,COL,W,3,162,81,87,75,0,Covered
2017,NL,LAD,W,1,162,81,104,58,0,Covered
2017,NL,FLA,E,2,162,78,77,85,1,Retractable
2017,NL,MIL,C,2,162,84,86,76,1,Retractable
2017,NL,NYM,E,4,162,81,70,92,0,Covered
2017,NL,PHI,E,5,162,81,66,96,0,Covered
2017,NL,PIT,C,4,162,81,75,87,0,Covered
2017,NL,SDP,W,4,162,81,71,91,0,Covered
2017,NL,SFG,W,5,162,81,64,98,0,Covered
2017,NL,STL,C,3,162,81,83,79,0,Covered
2017,NL,WSN,E,1,162,81,97,65,0,Covered
2018,NL,ARI,W,3,162,81,82,80,1,Retractable
2018,NL,ATL,E,1,162,81,90,72,0,Covered
2018,NL,CHC,C,2,163,82,95,68,0,Covered
2018,NL,CIN,C,5,162,81,67,95,0,Covered
2018,NL,COL,W,2,163,81,91,72,0,Covered
2018,NL,LAD,W,1,163,82,92,71,0,Covered
2018,NL,FLA,E,5,161,81,63,98,1,Retractable
2018,NL,MIL,C,1,163,81,96,67,1,Retractable
2018,NL,NYM,E,4,162,81,77,85,0,Covered
2018,NL,PHI,E,3,162,81,80,82,0,Covered
2018,NL,PIT,C,4,161,80,82,79,0,Covered
2018,NL,SDP,W,5,162,81,66,96,0,Covered
2018,NL,SFG,W,4,162,81,73,89,0,Covered
2018,NL,STL,C,3,162,81,88,74,0,Covered
2018,NL,WSN,E,2,162,81,82,80,0,Covered
